Entity,Code,Year,Alcohol_Use_Disorder,Alcohol_Consumption,Population
Nicaragua,NIC,2016,2.06,5.2,6304000.0
Niger,NER,2016,0.91,0.5,20789000.0
Nigeria,NGA,2016,0.96,13.4,185960000.0
North Korea,PRK,2016,1.37,3.9,25308000.0
Norway,NOR,2016,1.42,7.5,5251000.0
Oman,OMN,2016,0.69,0.8,4479000.0
Pakistan,PAK,2016,1.53,0.3,203631008.0
Panama,PAN,2016,1.41,7.9,4037000.0
Papua New Guinea,PNG,2016,1.21,1.2,8272000.0
Paraguay,PRY,2016,2.37,7.2,6778000.0
Peru,PER,2016,1.43,6.3,30926000.0
Philippines,PHL,2016,0.89,6.6,103664000.0
Poland,POL,2016,2.04,11.6,37989000.0
Portugal,PRT,2016,1.27,12.3,10326000.0
Qatar,QAT,2016,0.73,2.0,2654000.0
Romania,ROU,2016,1.69,12.6,19796000.0
Russia,RUS,2016,4.89,11.7,145275008.0
Rwanda,RWA,2016,2.35,9.0,11669000.0
Saint Lucia,LCA,2016,1.91,9.9,180000.0
Saint Vincent and the Grenadines,VCT,2016,2.23,8.2,109000.0
Samoa,WSM,2016,1.11,2.5,195000.0
Sao Tome and Principe,STP,2016,1.02,6.8,203000.0
Saudi Arabia,SAU,2016,0.68,0.2,32443000.0
Senegal,SEN,2016,0.92,0.7,14994000.0
Serbia,SRB,2016,2.02,11.1,8854000.0
Seychelles,SYC,2016,0.86,12.0,96000.0
Sierra Leone,SLE,2016,0.94,5.7,7329000.0
Singapore,SGP,2016,0.49,2.0,5654000.0
Slovakia,SVK,2016,2.49,11.5,5442000.0
Slovenia,SVN,2016,2.24,12.6,2074000.0
Solomon Islands,SLB,2016,1.14,1.4,619000.0
Somalia,SOM,2016,1.54,0.0,14186000.0
South Africa,ZAF,2016,1.58,9.3,56208000.0
South Korea,KOR,2016,2.02,10.2,50983000.0
Spain,ESP,2016,0.89,10.0,46634000.0
Sri Lanka,LKA,2016,0.96,4.3,21021000.0
Sudan,SDN,2016,0.65,0.5,39847000.0
Suriname,SUR,2016,1.76,5.1,565000.0
Swaziland,SWZ,2016,1.71,9.9,1114000.0
Sweden,SWE,2016,1.66,9.2,9836000.0
Switzerland,CHE,2016,1.38,11.5,8380000.0
Tajikistan,TJK,2016,2.2,3.3,8664000.0
Tanzania,TZA,2016,1.55,9.4,53049000.0
Thailand,THA,2016,0.9,8.3,68971000.0
Timor,TLS,2016,0.82,2.1,1219000.0
Togo,TGO,2016,0.97,3.1,7510000.0
Tonga,TON,2016,1.14,1.5,101000.0
Trinidad and Tobago,TTO,2016,1.73,8.4,1378000.0
Tunisia,TUN,2016,0.65,1.9,11304000.0
Turkey,TUR,2016,0.78,2.0,79828000.0
Turkmenistan,TKM,2016,2.58,5.4,5662000.0
